,MAKE,MODEL,YEAR,Recall,Predict_Recall,Probability_Recall,complaint_count,crash_ratio,keybert_safety_score,median_mileage,complaints_first_12m,recall_count,first_complaint_date,shap_keybert_safety_score,shap_median_mileage,shap_complaints_first_12m_ratio
111,CADILLAC,XT4,2023,0,0,0.494805251,18,0,10,3000,3,,2023-03-23,-0.725227977,0.40121229,-0.137050603
112,CADILLAC,XT4,2024,1,1,0.651642273,44,0.113636364,20,3000,8,1,2023-09-01,-0.125342791,0.40121229,-0.089890195
113,CADILLAC,XT4,2025,1,0,0.373002311,11,0,3,8640,2,1,2025-09-11,-1.145147608,0.339124769,-0.153621944
114,CADILLAC,XT5,2022,1,0,0.393060354,16,0.375,5,17020.5,1,3,2022-07-06,-1.02517057,0.246868658,-0.096450816
115,CADILLAC,XT5,2023,1,1,0.546381063,18,0,11,900,7,4,2022-10-05,-0.665239459,0.424329984,-0.01331792
116,CADILLAC,XT5,2024,1,0,0.403281356,15,0.133333333,3,9200,12,3,2024-01-24,-1.145147608,0.332960051,-0.019910235
117,CADILLAC,XT6,2022,1,1,0.587670749,16,0.0625,8,10185,5,3,2022-10-13,-0.845205014,0.322116752,0.437146376
118,CADILLAC,XT6,2023,1,0,0.321551957,16,0.0625,6,64000,9,2,2022-10-03,-0.965182052,-0.270301675,0.048548421
119,CADILLAC,XT6,2024,1,0,0.499049689,21,0,8,1200,12,2,2024-02-06,-0.845205014,0.421027456,-0.019910235
120,CHEVROLET,BLAZER,2022,1,0,0.304921672,61,0.032786885,18,121000,11,1,2022-05-26,-0.245319828,-0.897781937,-0.12115439
121,CHEVROLET,BLAZER,2023,1,1,0.624829246,53,0.132075472,20,8500,13,2,2023-04-05,-0.125342791,0.340665949,-0.145512564
122,CHEVROLET,BLAZER,2024,1,0,0.411242536,57,0.122807018,10,29000,10,1,2024-01-04,-0.725227977,0.114993223,-0.18888296
123,CHEVROLET,BLAZER,2025,1,0,0.441519202,28,0,11,22000,11,1,2025-04-16,-0.665239459,0.192052203,-0.202098015
124,CHEVROLET,BLAZER EV,2024,1,1,0.669358539,126,0.047619048,22,10381,44,5,2023-11-30,-0.005365754,0.3199591,-0.049594633
125,CHEVROLET,BLAZER EV,2025,1,0,0.453102317,31,0,8,3000,18,3,2025-01-05,-0.845205014,0.40121229,-0.184437588
126,CHEVROLET,BOLT EUV,2022,1,0,0.342665546,30,0,9,50000,4,4,2022-09-23,-0.785216496,-0.116183716,-0.190324397
127,CHEVROLET,BOLT EUV,2023,0,1,0.816670481,159,0.119496855,31,5000,57,,2022-11-20,0.534530914,0.379195439,0.139937606
128,CHEVROLET,BOLT EV,2022,1,1,0.666227307,93,0.053763441,18,5806,36,7,2021-08-18,-0.245319828,0.370322648,0.125881347
129,CHEVROLET,BOLT EV,2023,1,1,0.596201979,78,0.192307692,16,0,17,3,2022-11-21,-0.365296865,0.434237567,-0.119562549
130,CHEVROLET,CAMARO,2022,1,0,0.396343939,15,0.066666667,4,0,2,1,2022-09-07,-1.085159089,0.434237567,-0.210087256
131,CHEVROLET,CAMARO,2023,0,0,0.412280329,24,0.291666667,5,0,4,,2023-06-11,-1.02517057,0.434237567,-0.203900099
132,CHEVROLET,COLORADO,2022,1,1,0.514622998,55,0.054545455,15,20000,6,1,2022-04-12,-0.425285384,0.214069054,-0.170561538
133,CHEVROLET,COLORADO,2023,1,1,0.786576189,195,0.020512821,30,6750,40,3,2023-06-05,0.474542395,0.359930694,0.02965004
134,CHEVROLET,COLORADO,2024,1,1,0.813696213,172,0.069767442,33,3080,51,3,2024-03-26,0.654507951,0.400331616,-0.020917625
135,CHEVROLET,COLORADO,2025,1,1,0.54070249,39,0,13,396,27,1,2025-04-10,-0.545262421,0.42987823,-0.161731324
136,CHEVROLET,CORVETTE,2022,1,0,0.449288797,21,0,8,9250,10,1,2022-01-04,-0.845205014,0.33240963,-0.13103582
137,CHEVROLET,CORVETTE,2023,1,1,0.522203326,32,0.03125,12,812,9,1,2022-10-16,-0.60525094,0.425298725,-0.17146258
138,CHEVROLET,CORVETTE,2024,1,1,0.599529626,29,0.034482759,17,500,17,2,2023-11-20,-0.305308347,0.428733354,-0.160205951
139,CHEVROLET,CORVETTE,2025,1,0,0.395775216,12,0,4,25,7,3,2025-07-09,-1.085159089,0.433962356,-0.212189687
140,CHEVROLET,EQUINOX,2022,1,1,0.748497406,203,0.103448276,31,26000,20,5,2022-02-26,0.534530914,0.1480185,-0.032221525
141,CHEVROLET,EQUINOX,2023,1,1,0.759261183,116,0.068965517,28,10002,40,3,2023-01-26,0.354565358,0.324131293,0.02965004
142,CHEVROLET,EQUINOX,2024,1,1,0.643519943,96,0.104166667,22,10000,15,1,2023-12-28,-0.005365754,0.32415331,-0.168399382
143,CHEVROLET,EQUINOX,2025,0,1,0.839849612,307,0.045602606,34,8000,153,,2024-10-14,0.71449647,0.346170162,0.156156365
144,CHEVROLET,EQUINOX,2026,1,1,0.804137044,69,0.014492754,24,150,50,1,2025-07-07,0.114611284,0.432586303,0.424870367
145,CHEVROLET,EQUINOX EV,2024,1,1,0.626012114,145,0.006896552,15,300,73,1,2024-06-25,-0.425285384,0.430935039,0.069210116
146,CHEVROLET,EQUINOX EV,2025,1,1,0.808499812,217,0.032258065,28,500,177,6,2024-10-23,0.354565358,0.428733354,0.216706401
147,CHEVROLET,EQUINOX EV,2026,1,0,0.485880627,11,0,8,0,11,3,2026-01-23,-0.845205014,0.434237567,-0.085811609
148,CHEVROLET,MALIBU,2022,1,0,0.458729975,128,0.046875,18,54000,3,1,2022-05-13,-0.245319828,-0.160217418,-0.200205826
149,CHEVROLET,MALIBU,2023,1,1,0.580697918,62,0.080645161,24,50000,18,2,2023-05-10,0.114611284,-0.116183716,-0.113075045
150,CHEVROLET,MALIBU,2024,1,0,0.385160794,23,0.173913043,3,0,8,2,2024-07-25,-1.145147608,0.434237567,-0.197076391
151,CHEVROLET,SILVERADO 1500,2022,1,1,0.85453746,747,0.018741633,39,34750,50,6,2021-12-22,1.014439063,0.051694775,0.26422136
152,CHEVROLET,SILVERADO 1500,2023,1,1,0.869635571,460,0.041304348,44,31500,44,3,2023-02-14,1.314381656,0.087472159,0.055600055
153,CHEVROLET,SILVERADO 1500,2024,1,1,0.821734376,353,0.028328612,34,8840,65,2,2024-03-08,0.71449647,0.336923084,0.036436392
154,CHEVROLET,SILVERADO 1500,2025,0,1,0.723580322,119,0.016806723,26,3000,46,,2024-10-21,0.234588321,0.40121229,-0.113795879
155,CHEVROLET,SILVERADO 1500,2026,1,1,0.748386124,49,0,21,3566.5,42,3,2025-10-27,-0.065354272,0.394976017,0.32011509
156,CHEVROLET,SILVERADO 2500,2022,1,1,0.637175545,116,0.043103448,24,25000,8,3,2022-05-27,0.114611284,0.159026926,-0.150798679
157,CHEVROLET,SILVERADO 2500,2023,1,0,0.464962088,60,0,14,29000,3,1,2023-04-03,-0.485273903,0.114993223,-0.210387603
158,CHEVROLET,SILVERADO 2500,2024,1,1,0.625940588,195,0.01025641,18,7000,47,3,2023-06-08,-0.245319828,0.357178587,-0.037304486
159,CHEVROLET,SILVERADO 2500,2025,0,0,0.483135393,30,0.066666667,17,42000,22,,2025-01-08,-0.305308347,-0.028116311,-0.174345915
160,CHEVROLET,SILVERADO 3500,2022,1,0,0.392651124,33,0.060606061,14,55000,1,3,2022-12-12,-0.485273903,-0.171225844,-0.219968685
161,CHEVROLET,SILVERADO 3500,2023,1,0,0.315604139,17,0,5,35750,0,1,2024-08-07,-1.02517057,0.04068635,-0.229850115
162,CHEVROLET,SILVERADO 3500,2024,1,1,0.5300555,66,0.015151515,13,7400,25,3,2023-05-12,-0.545262421,0.352775217,-0.127432227
163,CHEVROLET,SILVERADO 3500,2025,1,0,0.406892687,18,0,5,1500,8,1,2025-01-15,-1.02517057,0.417724928,-0.209666769
164,CHEVROLET,SILVERADO EV,2024,1,0,0.431422523,42,0.047619048,6,55,11,4,2024-08-25,-0.965182052,0.433632103,-0.184786244
