,MAKE,MODEL,YEAR,Recall,Predict_Recall,Probability_Recall,complaint_count,crash_ratio,keybert_safety_score,median_mileage,complaints_first_12m,recall_count,first_complaint_date,shap_keybert_safety_score,shap_median_mileage,shap_complaints_first_12m_ratio
257,FORD,F-350 SD,2022,1,1,0.69177438,155,0.019354839,29,30000,22,17,2021-08-31,0.414553877,0.103984797,-0.150397402
258,FORD,F-350 SD,2023,1,1,0.535533616,54,0.074074074,15,9500,7,15,2023-05-08,-0.425285384,0.329657523,-0.202284208
259,FORD,F-350 SD,2024,1,1,0.705824636,59,0.050847458,26,10000,15,3,2024-01-31,0.234588321,0.32415331,-0.123837427
260,FORD,F-350 SD,2025,1,0,0.387525021,20,0.15,3,1400,10,6,2025-06-09,-1.145147608,0.418825771,-0.171692382
261,FORD,F-450 SD,2022,1,0,0.318444722,35,0,12,75000,7,14,2022-03-29,-0.60525094,-0.391394357,-0.204569706
262,FORD,F-450 SD,2024,1,0,0.323194335,14,0,0,6615.5,2,3,2024-02-07,-1.325113163,0.361411327,-0.21571509
263,FORD,F-550 SD,2022,1,0,0.222248187,15,0,6,85000,1,12,2022-05-14,-0.965182052,-0.501478614,-0.226238628
264,FORD,MAVERICK,2022,1,1,0.691964319,195,0.056410256,30,33400,16,28,2022-01-24,0.474542395,0.06655615,-0.172066324
265,FORD,MAVERICK,2023,1,1,0.682015946,110,0.054545455,25,11188.5,17,21,2023-03-10,0.174599802,0.311069796,-0.162904341
266,FORD,MAVERICK,2024,1,1,0.6617566,94,0.127659574,21,4500,20,15,2024-04-14,-0.065354272,0.384699651,-0.088499865
267,FORD,MAVERICK,2025,1,1,0.525194283,33,0.151515152,12,3400,17,12,2025-02-10,-0.60525094,0.39680892,-0.13098197
268,FORD,MAVERICK HYBRID,2022,1,1,0.864611618,720,0.0125,37,19611.5,147,1,2022-01-11,0.894462026,0.218345827,0.301038463
269,FORD,MAVERICK HYBRID,2023,1,1,0.790135331,460,0.019565217,33,9750,34,1,2023-01-23,0.654507951,0.326905417,-0.095958568
270,FORD,MAVERICK HYBRID,2024,1,1,0.73964067,147,0.020408163,24,14574,63,1,2024-01-23,0.114611284,0.273800771,0.215403172
271,FORD,MAVERICK HYBRID,2025,1,1,0.587532589,27,0.074074074,15,1000,25,,2025-01-19,-0.425285384,0.423229141,-0.084455784
272,FORD,MUSTANG,2022,1,1,0.603241054,69,0.072463768,19,4650,3,9,2022-09-27,-0.18533131,0.383048388,-0.219015654
273,FORD,MUSTANG,2023,1,0,0.419146631,28,0.392857143,8,15000,10,6,2023-09-12,-0.845205014,0.269111182,-0.190470248
274,FORD,MUSTANG,2024,1,1,0.748427385,113,0.10619469,26,3947,36,10,2023-10-15,0.234588321,0.390787311,0.024580335
275,FORD,MUSTANG,2025,1,0,0.445267912,14,0.142857143,7,0,7,4,2025-07-21,-0.905193533,0.434237567,-0.189139702
276,FORD,MUSTANG MACH E,2022,1,1,0.701697002,228,0.135964912,27,19100,35,8,2022-05-20,0.294576839,0.223976637,-0.103448072
277,FORD,MUSTANG MACH E,2023,1,1,0.759830422,200,0.09,30,13500,46,3,2023-01-28,0.474542395,0.285623821,-0.048702728
278,FORD,MUSTANG MACH E,2024,1,1,0.665208902,82,0.073170732,23,9500,13,3,2024-07-20,0.054622765,0.329657523,-0.137972452
279,FORD,MUSTANG MACH E,2025,1,0,0.437334792,17,0,6,1700,15,5,2025-07-19,-0.965182052,0.415523243,-0.142613516
280,FORD,RANGER,2022,1,1,0.528112299,50,0.02,15,12000,7,5,2022-02-01,-0.425285384,0.302136459,-0.204569706
281,FORD,RANGER,2023,1,0,0.469244008,19,0.105263158,9,2000,10,4,2023-07-18,-0.785216496,0.412220716,-0.190470248
282,FORD,RANGER,2024,1,1,0.636665839,79,0.025316456,20,2000,9,13,2024-09-17,-0.125342791,0.412220716,-0.166242502
283,FORD,RANGER,2025,1,1,0.515227306,33,0.121212121,11,1050,16,12,2025-06-15,-0.665239459,0.42267872,-0.136797743
284,FORD,TRANSIT,2022,1,0,0.415761431,46,0.086956522,7,7566,1,16,2022-10-04,-0.905193533,0.350947818,-0.226238628
285,FORD,TRANSIT,2023,1,1,0.633739803,72,0.055555556,24,23459,12,19,2023-03-15,0.114611284,0.175990909,-0.182594275
286,FORD,TRANSIT,2024,1,1,0.505798282,35,0,11,3087,11,10,2024-05-16,-0.665239459,0.400254557,-0.152107477
287,GMC,ACADIA,2022,1,1,0.52997702,68,0.058823529,16,28000,6,3,2022-05-10,-0.365296865,0.126001649,-0.08093927
288,GMC,ACADIA,2023,1,1,0.638822478,62,0.064516129,20,13000,9,4,2022-11-19,-0.125342791,0.291128033,-0.035814772
289,GMC,ACADIA,2024,0,1,0.705039976,77,0,24,1000,21,,2024-07-21,0.114611284,0.423229141,-0.106712301
290,GMC,ACADIA,2025,0,1,0.690270985,93,0.010752688,17,4505,64,,2025-03-25,-0.305308347,0.384644609,0.281763673
291,GMC,CANYON,2022,1,0,0.393518859,36,0.027777778,8,25585,2,1,2022-05-11,-0.845205014,0.152586997,-0.180213166
292,GMC,CANYON,2023,1,1,0.714980417,92,0,20,2800,20,3,2023-08-03,-0.125342791,0.403413975,0.201339536
293,GMC,CANYON,2024,1,1,0.870548754,255,0,24,250,196,3,2024-04-21,0.114611284,0.43148546,0.919436147
294,GMC,CANYON,2025,1,0,0.366066509,13,0,4,13500,5,2,2025-08-27,-1.085159089,0.285623821,-0.189880287
295,GMC,HUMMER EV PICKUP,2022,0,0,0.406007135,11,0,5,0,0,,2023-04-20,-1.02517057,0.434237567,-0.229850115
296,GMC,HUMMER EV SUV,2024,0,0,0.485729088,15,0.2,10,0,4,,2023-11-11,-0.725227977,0.434237567,-0.206395293
297,GMC,HUMMER EV SUV,2025,0,0,0.457628707,10,0,8,2300,7,,2025-04-02,-0.845205014,0.408918188,-0.173892357
298,GMC,SIERRA 1500,2022,1,1,0.898908181,676,0.020710059,38,39200,41,6,2022-02-16,0.954450544,0.002707281,0.787707323
299,GMC,SIERRA 1500,2023,1,1,0.898561898,504,0.017857143,37,20000,40,3,2023-02-09,0.894462026,0.214069054,0.632529187
300,GMC,SIERRA 1500,2024,1,1,0.806372308,398,0.012562814,32,16000,62,1,2024-01-31,0.594519432,0.258102756,0.133699621
301,GMC,SIERRA 1500,2025,1,1,0.765155748,125,0.056,23,16500,83,1,2025-01-05,0.054622765,0.252598544,0.433649016
302,GMC,SIERRA 1500,2026,1,1,0.819177663,67,0,21,300,60,2,2025-09-23,-0.065354272,0.430935039,0.70491869
303,GMC,SIERRA 2500,2022,1,1,0.658456709,51,0.019607843,23,15167,5,3,2022-06-28,0.054622765,0.267272775,-0.105757744
304,GMC,SIERRA 2500,2023,1,0,0.416773037,34,0.029411765,10,33000,5,1,2023-03-06,-0.725227977,0.07095952,-0.122052702
305,GMC,SIERRA 2500,2024,1,1,0.773908694,128,0.03125,30,8000,34,3,2023-06-18,0.474542395,0.346170162,-0.03048413
306,GMC,SIERRA 2500,2025,0,1,0.588235292,32,0.09375,15,600,18,,2025-01-07,-0.425285384,0.427632511,-0.085958737
307,GMC,SIERRA 3500,2022,1,1,0.505779991,38,0.157894737,17,40000,5,3,2022-03-10,-0.305308347,-0.006099459,-0.105757744
308,GMC,SIERRA 3500,2023,1,0,0.348865991,40,0.25,14,79000,4,1,2023-02-20,-0.485273903,-0.43542806,-0.143612184
309,GMC,SIERRA 3500,2024,1,1,0.63642215,62,0,22,20000,24,3,2023-12-18,-0.005365754,0.214069054,-0.089121185
310,GMC,SIERRA 3500,2025,1,0,0.498739055,25,0,17,40000,12,1,2024-11-14,-0.305308347,-0.006099459,-0.133922529
311,GMC,SIERRA EV,2025,1,0,0.405035425,10,0,4,0,7,1,2025-01-17,-1.085159089,0.434237567,-0.173892357
312,GMC,TERRAIN,2022,1,0,0.391093901,58,0,8,22000,0,2,2024-07-30,-0.845205014,0.192052203,-0.229850115
313,GMC,TERRAIN,2023,1,1,0.539236476,56,0.071428571,17,18500,1,2,2023-10-05,-0.305308347,0.230581692,-0.208290632
314,GMC,TERRAIN,2024,1,1,0.627399423,65,0.015384615,20,6766,13,1,2024-05-13,-0.125342791,0.359754559,-0.153621944
315,GMC,TERRAIN,2025,0,0,0.416554363,23,0.086956522,5,1126,7,,2025-05-02,-1.02517057,0.42184208,-0.173892357
316,GMC,TERRAIN,2026,1,1,0.525719766,27,0,8,2150,21,1,2025-08-06,-0.845205014,0.410569452,0.097318967
317,GMC,TERRAIN NA,2022,1,1,0.500576577,38,0,10,6000,6,2,2022-03-15,-0.725227977,0.368187013,-0.08093927
318,GMC,YUKON,2022,1,1,0.787584234,215,0.009302326,34,40500,16,5,2022-02-08,0.71449647,-0.011603672,0.167245471
319,GMC,YUKON,2023,1,1,0.765958799,266,0.007518797,32,28367,12,4,2023-03-10,0.594519432,0.121961556,0.028863676
320,GMC,YUKON,2024,1,1,0.562801062,130,0,18,16000,5,3,2024-05-28,-0.245319828,0.258102756,-0.200531588
321,GMC,YUKON,2025,1,1,0.707737418,67,0,22,3150,35,2,2025-02-02,-0.005365754,0.399561026,0.049938676
322,GMC,YUKON,2026,1,1,0.540788118,18,0,10,3303,18,3,2026-02-04,-0.725227977,0.397876737,0.050580527
323,GMC,YUKON XL,2022,1,1,0.652918661,193,0.025906736,31,60990,5,4,2022-01-24,0.534530914,-0.237166314,-0.105757744
324,GMC,YUKON XL,2023,1,1,0.798144773,265,0.003773585,39,41500,8,4,2023-02-23,1.014439063,-0.022612098,-0.057374254
325,GMC,YUKON XL,2024,1,1,0.674113376,83,0,27,19294.5,0,2,2025-01-18,0.294576839,0.221835498,-0.229850115
326,GMC,YUKON XL,2025,1,0,0.495832643,37,0.054054054,8,0,23,1,2025-04-25,-0.845205014,0.434237567,-0.04598891
327,GMC,YUKON XL,2026,1,1,0.574954021,26,0,11,1825,22,3,2025-11-01,-0.665239459,0.41414719,0.112898447
328,HONDA,ACCORD,2022,1,1,0.768390519,282,0.017730496,31,11500,27,4,2021-12-02,0.534530914,0.307640672,-0.083212718
329,HONDA,ACCORD,2023,1,1,0.685327489,131,0.083969466,30,37200,35,5,2023-05-20,0.474542395,0.024724133,-0.161188711
330,HONDA,ACCORD,2024,1,1,0.808573684,187,0.07486631,35,9555,42,3,2024-01-10,0.774484988,0.32905206,-0.103054742
331,HONDA,ACCORD,2025,0,1,0.756820799,98,0.091836735,29,4100.5,43,,2025-01-23,0.414553877,0.389097517,-0.108610066
332,HONDA,ACCORD HYBRID,2022,1,1,0.637458445,82,0.146341463,21,5800,9,1,2022-03-07,-0.065354272,0.370388698,-0.180970982
333,HONDA,ACCORD HYBRID,2023,1,1,0.796224178,283,0.035335689,35,14559,53,5,2023-04-02,0.774484988,0.273965898,-0.125877132
334,HONDA,ACCORD HYBRID,2024,1,1,0.762420803,131,0.030534351,28,3500,68,3,2023-10-16,0.354565358,0.395708077,-0.024562369
335,HONDA,ACCORD HYBRID,2025,1,1,0.608185942,41,0.097560976,18,5300,35,1,2024-11-26,-0.245319828,0.375892911,-0.131166354
336,HONDA,CIVIC,2022,1,1,0.936701822,1145,0.057641921,46,25000,164,4,2021-07-26,1.434358693,0.159026926,0.660836294
337,HONDA,CIVIC,2023,1,1,0.805627981,326,0.098159509,32,8000,138,4,2023-01-24,0.594519432,0.346170162,0.040871991
338,HONDA,CIVIC,2024,1,1,0.76003474,162,0.104938272,28,11000,91,3,2023-11-21,0.354565358,0.313144885,0.044873193
339,HONDA,CIVIC,2025,1,1,0.802734446,95,0.115789474,33,1283.5,42,2,2024-10-28,0.654507951,0.420108253,-0.111429602
340,HONDA,CIVIC,2026,0,1,0.570290771,30,0.2,11,300,22,,2025-09-17,-0.665239459,0.430935039,0.07705546
341,HONDA,CIVIC HATCHBACK,2024,1,0,0.311104588,10,0.2,0,11500,4,2,2024-12-02,-1.325113163,0.307640672,-0.217774365
342,HONDA,CIVIC HATCHBACK HYBRID,2025,1,0,0.353170437,11,0.090909091,3,11300,7,1,2024-11-30,-1.145147608,0.309842357,-0.210113362
343,HONDA,CIVIC HYBRID,2025,1,0,0.427437776,10,0,6,0,10,2,2025-04-10,-0.965182052,0.434237567,-0.201654754
344,HONDA,CIVIC SI,2022,0,0,0.487841311,89,0.011235955,12,8000,0,,2023-01-12,-0.60525094,0.346170162,-0.229850115
345,HONDA,CIVIC SI,2023,0,0,0.422716707,68,0,6,6500,41,,2023-03-16,-0.965182052,0.3626828,-0.149418185
346,HONDA,CR-V,2022,1,1,0.798985438,258,0.034883721,35,17867.5,29,3,2022-02-25,0.774484988,0.237544522,-0.072350689
347,HONDA,CR-V,2023,1,1,0.880715476,633,0.052132701,40,7700,186,3,2022-12-28,1.074427581,0.349472689,0.135036201
348,HONDA,CR-V,2024,1,1,0.920089154,521,0.082533589,41,6280,243,2,2023-08-25,1.1344161,0.365104654,0.503751684
349,HONDA,CR-V,2025,1,1,0.895668974,312,0.134615385,40,1325,158,1,2024-06-01,1.074427581,0.419651403,0.215636577
350,HONDA,CR-V,2026,0,1,0.900106037,114,0.105263158,29,5500,86,,2025-07-02,0.414553877,0.373691226,0.969871678
351,HONDA,CR-V HYBRID,2022,1,1,0.736017223,112,0.151785714,28,7000,19,4,2021-11-21,0.354565358,0.357178587,-0.126660836
352,HONDA,CR-V HYBRID,2023,1,1,0.746456277,140,0.007142857,29,6685,48,4,2023-05-10,0.414553877,0.360646241,-0.135685904
353,HONDA,CR-V HYBRID,2024,1,1,0.732381848,102,0,26,4600,59,2,2023-08-31,0.234588321,0.383598809,-0.051732806
354,HONDA,CR-V HYBRID,2025,1,1,0.560354479,38,0.210526316,16,10000,26,3,2024-10-18,-0.365296865,0.32415331,-0.156542178
355,HONDA,HR-V,2022,1,1,0.778020685,136,0.117647059,32,9000,21,3,2021-12-19,0.594519432,0.335161736,-0.115798806
356,HONDA,HR-V,2023,1,1,0.890982092,811,0.016029593,34,13000,451,3,2023-01-19,0.71449647,0.291128033,0.654901113
357,HONDA,HR-V,2024,1,1,0.76523569,152,0.092105263,29,10000,77,4,2023-08-06,0.414553877,0.32415331,0.002608068
358,HONDA,HR-V,2025,1,1,0.582324306,50,0.08,16,2362,28,1,2024-09-04,-0.365296865,0.408235665,-0.150903106
359,HONDA,INSIGHT,2022,1,1,0.533898083,49,0,15,14500,14,3,2021-12-02,-0.425285384,0.274615395,-0.153815909
360,HONDA,ODYSSEY,2022,1,1,0.822970191,175,0.045714286,38,19000,27,9,2021-05-07,0.954450544,0.225077479,-0.083212718
361,HONDA,ODYSSEY,2023,1,1,0.834476335,141,0.028368794,39,10000,35,5,2022-09-27,1.014439063,0.32415331,-0.161188711
362,HONDA,ODYSSEY,2024,1,1,0.655194668,98,0.020408163,23,8500,12,3,2023-12-18,0.054622765,0.340665949,-0.193622865
363,HONDA,ODYSSEY,2025,1,1,0.811980378,257,0.003891051,33,12274.5,106,2,2025-02-14,0.654507951,0.299114646,0.069020704
364,HONDA,ODYSSEY,2026,1,0,0.386303683,12,0,2,6,7,2,2025-11-04,-1.205136126,0.434171516,-0.132198341
365,HONDA,PASSPORT,2022,1,1,0.642035263,85,0.011764706,25,25300,8,3,2022-02-25,0.174599802,0.155724398,-0.186401997
366,HONDA,PASSPORT,2023,1,1,0.53970791,56,0.089285714,15,8500,17,4,2023-06-14,-0.425285384,0.340665949,-0.19650029
367,HONDA,PASSPORT,2024,1,1,0.565672249,23,0.260869565,16,2200,3,1,2024-10-30,-0.365296865,0.41001903,-0.220793302
368,HONDA,PASSPORT,2025,0,1,0.533262304,30,0,13,0,12,,2025-01-20,-0.545262421,0.434237567,-0.196015682
369,HONDA,PASSPORT,2026,0,1,0.533813144,34,0,11,8637,18,,2025-04-16,-0.665239459,0.339157795,0.021254447
370,HONDA,PILOT,2022,1,1,0.811507539,211,0.056872038,38,24000,23,4,2022-01-24,0.954450544,0.170035351,-0.104936777
371,HONDA,PILOT,2023,1,1,0.821026081,165,0.024242424,37,9100,43,5,2023-05-20,0.894462026,0.334060893,-0.145494676
372,HONDA,PILOT,2024,1,1,0.760336725,145,0.013793103,32,22500,54,6,2023-10-13,0.594519432,0.18654799,-0.066827493
373,HONDA,PILOT,2025,1,1,0.834905109,253,0.086956522,33,8435,147,4,2024-06-04,0.654507951,0.341381496,0.184621681
374,HONDA,PROLOGUE,2024,1,1,0.847166154,1264,0.014240506,40,8000,27,3,2024-05-07,1.074427581,0.346170162,-0.148338804
375,HONDA,PROLOGUE,2025,1,1,0.675657375,204,0.034313725,20,1000,80,1,2025-07-17,-0.125342791,0.423229141,-0.004287233
376,HONDA,RIDGELINE,2022,1,1,0.787895081,147,0.020408163,29,200,47,2,2021-12-17,0.414553877,0.432035882,0.025407576
377,HONDA,RIDGELINE,2023,1,1,0.687069803,153,0.013071895,27,20117,35,4,2022-10-27,0.294576839,0.212781068,-0.161188711
378,HONDA,RIDGELINE,2024,1,1,0.656389842,67,0,21,137,23,1,2024-05-20,-0.065354272,0.432729413,-0.160414553
379,HONDA,RIDGELINE,2025,1,1,0.586280414,84,0.047619048,15,299.5,47,2,2024-05-09,-0.425285384,0.430940543,-0.097331921
380,HYUNDAI,ACCENT,2022,1,0,0.48968991,32,0.1875,10,300,11,2,2022-02-16,-0.725227977,0.430935039,-0.187239812
381,HYUNDAI,ELANTRA,2022,1,1,0.74687579,129,0.03875969,28,5500,37,5,2021-08-28,0.354565358,0.373691226,-0.086524553
382,HYUNDAI,ELANTRA,2023,1,1,0.764297818,146,0.075342466,30,8000,46,2,2022-09-30,0.474542395,0.346170162,-0.084610642
383,HYUNDAI,ELANTRA,2024,1,1,0.52471511,87,0.126436782,13,7654,19,1,2024-05-03,-0.545262421,0.349979077,-0.146062126
384,HYUNDAI,ELANTRA,2025,0,0,0.476638035,24,0.166666667,10,4000,13,,2025-06-10,-0.725227977,0.390203864,-0.198778386
385,HYUNDAI,ELANTRA HYBRID,2022,1,1,0.641269017,67,0.044776119,21,7600,22,1,2022-02-22,-0.065354272,0.350573532,-0.14462951
386,HYUNDAI,ELANTRA HYBRID,2023,0,1,0.750767,91,0.10989011,28,1500,38,,2023-01-07,0.354565358,0.417724928,-0.109869681
387,HYUNDAI,ELANTRA N,2022,1,0,0.388511732,26,0,7,20000,7,4,2022-09-13,-0.905193533,0.214069054,-0.202734468
388,HYUNDAI,ELANTRA N,2023,1,0,0.389896866,20,0.3,4,1520,3,1,2023-03-30,-1.085159089,0.41750476,-0.220377975
389,HYUNDAI,IONIQ 5,2022,1,1,0.699629815,647,0.015455951,28,21000,20,3,2022-04-07,0.354565358,0.203060628,-0.152376838
390,HYUNDAI,IONIQ 5,2023,1,1,0.799681114,597,0.048576214,31,15500,119,3,2023-03-02,0.534530914,0.263606969,0.145878086
391,HYUNDAI,IONIQ 5,2024,1,1,0.673427988,327,0.03058104,23,11000,33,2,2023-11-14,0.054622765,0.313144885,-0.084323607
392,HYUNDAI,IONIQ 5,2025,1,1,0.766887244,398,0.010050251,28,8000,117,9,2025-03-19,0.354565358,0.346170162,0.049795447
393,HYUNDAI,IONIQ 5,2026,1,1,0.523694854,24,0,9,160,23,2,2025-12-11,-0.785216496,0.432476219,0.007304193
394,HYUNDAI,IONIQ 5 N,2025,0,0,0.451507234,25,0,9,8600,17,,2024-12-30,-0.785216496,0.339565106,-0.189217854
395,HYUNDAI,IONIQ 6,2023,1,1,0.641493335,72,0,23,13250,9,5,2023-07-08,0.054622765,0.288375927,-0.201433696
396,HYUNDAI,IONIQ 6,2024,1,1,0.553974311,56,0.089285714,14,800,15,5,2024-04-13,-0.485273903,0.425430826,-0.163701702
397,HYUNDAI,IONIQ 6,2025,1,0,0.415454804,41,0.048780488,6,3206,6,3,2025-01-02,-0.965182052,0.398944554,-0.215509317
398,HYUNDAI,IONIQ 9,2026,1,1,0.508701691,32,0,10,12000,24,2,2025-06-27,-0.725227977,0.302136459,0.01761525
399,HYUNDAI,IONIQ HYBRID,2022,0,0,0.322681301,37,0.135135135,6,40000,5,,2022-05-09,-0.965182052,-0.006099459,-0.210481795
400,HYUNDAI,KONA,2022,0,1,0.725243,133,0.030075188,28,19842,49,,2021-09-07,0.354565358,0.215808385,-0.040040587
401,HYUNDAI,KONA,2023,1,1,0.606969779,97,0.082474227,19,12000,34,1,2022-11-02,-0.18533131,0.302136459,-0.1224992
402,HYUNDAI,KONA,2024,1,1,0.542812261,62,0.129032258,14,7698.5,22,3,2023-12-05,-0.485273903,0.349489202,-0.132832443
403,HYUNDAI,KONA,2025,0,1,0.574374597,37,0.054054054,16,2060,18,,2024-12-16,-0.365296865,0.41156021,-0.186827721
404,HYUNDAI,KONA ELECTRIC,2022,0,0,0.385655672,29,0.103448276,3,0,9,,2021-10-24,-1.145147608,0.434237567,-0.19498714
405,HYUNDAI,KONA ELECTRIC,2024,0,0,0.410813575,25,0,5,3000,12,,2024-07-21,-1.02517057,0.40121229,-0.176931385
406,HYUNDAI,KONA N,2022,1,0,0.28442343,14,0,0,22000,0,2,2023-10-08,-1.325113163,0.192052203,-0.229850115
407,HYUNDAI,NEXO,2023,1,0,0.391625388,12,0,4,0,0,1,2024-09-25,-1.085159089,0.434237567,-0.229850115
408,HYUNDAI,PALISADE,2022,1,1,0.864453346,360,0.016666667,41,10900,50,5,2021-09-26,1.1344161,0.314245727,-0.036166923
409,HYUNDAI,PALISADE,2023,1,1,0.907629253,526,0.019011407,46,18000,128,5,2022-08-09,1.434358693,0.236085905,0.174294505
410,HYUNDAI,PALISADE,2024,1,1,0.899221386,483,0.049689441,36,850,163,5,2023-08-29,0.834473507,0.424880405,0.488962633
411,HYUNDAI,PALISADE,2025,1,1,0.888298653,313,0.022364217,39,6000,201,3,2024-11-04,1.014439063,0.368187013,0.250566619
412,HYUNDAI,PALISADE,2026,1,1,0.869358821,115,0.008695652,29,4603.5,86,3,2025-10-01,0.414553877,0.383560279,0.656900776
413,HYUNDAI,SANTA CRUZ,2022,1,1,0.862222678,263,0.019011407,37,15100,119,4,2022-01-26,0.894462026,0.26801034,0.231115881
414,HYUNDAI,SANTA CRUZ,2023,1,1,0.664560181,106,0.028301887,21,4000,47,2,2022-10-27,-0.065354272,0.390203864,-0.081453262
415,HYUNDAI,SANTA CRUZ,2024,1,1,0.676169238,47,0.085106383,22,410,23,1,2023-11-20,-0.005365754,0.429724112,-0.128422549
416,HYUNDAI,SANTA CRUZ,2025,1,0,0.445167283,25,0.12,8,5045,15,3,2024-11-14,-0.845205014,0.378700059,-0.19399812
417,HYUNDAI,SANTA FE,2022,1,1,0.839207966,274,0.047445255,38,11000,45,5,2021-09-01,0.954450544,0.313144885,-0.055535242
418,HYUNDAI,SANTA FE,2023,1,1,0.873691686,287,0.076655052,41,5144.5,67,1,2022-09-03,1.1344161,0.377604721,-0.018305665
419,HYUNDAI,SANTA FE,2024,1,1,0.805261041,155,0.077419355,33,9500,51,7,2024-04-08,0.654507951,0.329657523,-0.004945513
420,HYUNDAI,SANTA FE,2025,1,1,0.82342351,155,0.038709677,36,9262,68,5,2024-12-24,0.834473507,0.332277528,-0.06732107
421,HYUNDAI,SANTA FE,2026,1,1,0.530094881,29,0,10,6087,26,4,2025-11-28,-0.725227977,0.36722928,0.038237364
422,HYUNDAI,SANTA FE HYBRID,2022,1,1,0.614058519,61,0.032786885,24,29250,7,4,2022-02-09,0.114611284,0.112241117,-0.202734468
423,HYUNDAI,SANTA FE HYBRID,2023,1,1,0.748705752,110,0.009090909,29,6800,34,1,2022-12-12,0.414553877,0.359380272,-0.1224992
424,HYUNDAI,SANTA FE HYBRID,2024,1,1,0.520369498,53,0.018867925,16,26786,22,4,2024-08-13,-0.365296865,0.139365877,-0.132832443
425,HYUNDAI,SANTA FE HYBRID,2025,1,1,0.657899468,109,0.064220183,22,13000,66,3,2024-11-20,-0.005365754,0.291128033,-0.072101336
426,HYUNDAI,SANTA FE PLUG-IN HYBRID,2022,1,1,0.553319384,43,0.069767442,15,4000,10,5,2021-11-19,-0.425285384,0.390203864,-0.191113476
427,HYUNDAI,SANTA FE PLUG-IN HYBRID,2023,1,1,0.56667952,30,0.1,19,18500,4,2,2023-09-06,-0.18533131,0.230581692,-0.217220595
428,HYUNDAI,SONATA,2022,1,1,0.735546899,129,0.108527132,29,13500,29,3,2021-08-27,0.414553877,0.285623821,-0.117513863
429,HYUNDAI,SONATA,2023,1,1,0.666329963,135,0.088888889,24,14750,30,2,2022-12-18,0.114611284,0.271863288,-0.135128719
430,HYUNDAI,SONATA,2024,1,1,0.563333086,64,0.046875,15,2000,13,1,2024-05-07,-0.425285384,0.412220716,-0.172521491
431,HYUNDAI,SONATA,2025,0,0,0.36620983,14,0,2,0,5,,2024-12-14,-1.205136126,0.434237567,-0.21789945
432,HYUNDAI,SONATA HYBRID,2022,0,1,0.509810471,30,0,12,16,0,,2023-07-24,-0.60525094,0.434061432,-0.229850115
433,HYUNDAI,SONATA HYBRID,2023,0,0,0.404830014,23,0.217391304,11,34000,3,,2023-02-18,-0.665239459,0.059951095,-0.220377975
434,HYUNDAI,SONATA HYBRID,2024,0,0,0.320769812,12,0,1,15395,9,,2024-06-12,-1.265124645,0.264762854,-0.190161067
435,HYUNDAI,SONATA HYBRID,2025,0,0,0.426971891,13,0.230769231,6,0,11,,2025-03-03,-0.965182052,0.434237567,-0.203558652
436,HYUNDAI,TUCSON,2022,1,1,0.903795252,535,0.076635514,49,27050,72,3,2021-06-22,1.614324249,0.136459653,0.049053681
437,HYUNDAI,TUCSON,2023,1,1,0.781515219,192,0.140625,32,14000,60,2,2022-11-21,0.594519432,0.280119608,-0.040407324
438,HYUNDAI,TUCSON,2024,1,1,0.780235742,131,0.13740458,32,17500,50,4,2023-09-20,0.594519432,0.241590118,-0.009355407
439,HYUNDAI,TUCSON,2025,1,1,0.875583504,378,0.100529101,37,4250,192,5,2024-11-12,0.894462026,0.387451758,0.229055422
440,HYUNDAI,TUCSON,2026,1,1,0.669365345,38,0.157894737,17,2350,38,4,2026-01-12,-0.305308347,0.408367767,0.161970046
441,HYUNDAI,TUCSON HYBRID,2022,0,1,0.817339758,184,0.065217391,38,19000,28,,2021-08-17,0.954450544,0.225077479,-0.121387527
442,HYUNDAI,TUCSON HYBRID,2023,0,1,0.669363599,49,0.06122449,24,11500,23,,2022-12-13,0.114611284,0.307640672,-0.157230378
443,HYUNDAI,TUCSON HYBRID,2024,0,1,0.675161658,53,0.075471698,22,4433,32,,2023-10-11,-0.005365754,0.385437216,-0.088733502
444,HYUNDAI,TUCSON HYBRID,2025,1,1,0.774513703,165,0.042424242,26,780,152,2,2024-10-26,0.234588321,0.425650995,0.133450102
445,HYUNDAI,TUCSON PLUG-IN HYBRID,2022,0,0,0.254666868,14,0,4,60000,7,,2022-06-07,-1.085159089,-0.226267972,-0.202734468
446,HYUNDAI,TUCSON PLUG-IN HYBRID,2023,0,0,0.456293837,15,0,8,0,8,,2023-09-17,-0.845205014,0.434237567,-0.204591076
447,HYUNDAI,VELOSTER N,2022,1,1,0.542651366,41,0,14,0,3,2,2022-10-18,-0.485273903,0.434237567,-0.218229123
448,HYUNDAI,VENUE,2022,1,0,0.411539387,33,0.03030303,6,9000,16,1,2021-12-30,-0.965182052,0.335161736,-0.167871493
449,HYUNDAI,VENUE,2023,0,0,0.39266471,39,0.102564103,7,19680.5,13,,2023-04-11,-0.905193533,0.217586246,-0.188804177
450,HYUNDAI,VENUE,2024,1,0,0.410815155,29,0,5,3400,13,1,2024-03-21,-1.02517057,0.39680892,-0.172521491
451,INFINITI,QX50,2022,1,0,0.45125912,18,0.055555556,9,5000,0,2,2023-01-25,-0.785216496,0.379195439,-0.229850115
452,INFINITI,QX60,2022,1,0,0.414925416,24,0,8,13000,7,2,2021-12-29,-0.845205014,0.291128033,-0.229850115
